AOA,Beta,d_e,d_a,d_r,p,q,r,Cx,Cy,Cz,Cl,Cm,Cn
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 3.8399999999999999e+00,-1.1599999999999999e+00, 8.7300000000000000e-01, 1.0663930619744676e-01,-3.0416200125878950e-02, 1.3858158927088755e+00,-1.3284121710470437e-01, 7.4518107446471371e-01, 3.8032665885836599e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 3.8399999999999999e+00, 0.0000000000000000e+00,-8.7300000000000000e-01, 7.1436361123392286e-02,-8.9215304713657378e-02, 1.2341172185078848e+00,-1.0863288658559937e-01, 5.3394730949803115e-01, 6.2906311116151636e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01,-3.8399999999999999e+00, 1.1599999999999999e+00, 8.7300000000000000e-01, 9.8126646132738929e-02, 1.5422525711410359e-01, 1.0997745330387678e+00, 1.2084816744906293e-01, 4.9594583317420843e-01,-6.9542684581915579e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 0.0000000000000000e+00,-1.1599999999999999e+00,-8.7300000000000000e-01, 8.4521248550061462e-02,-2.7390343318546964e-02, 1.3635626755905919e+00, 1.2308935119742771e-02, 7.8870891829703660e-01, 2.7370076875183520e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 3.8399999999999999e+00,-1.1599999999999999e+00,-8.7300000000000000e-01, 9.6259760839321890e-02,-1.1109377150040096e-01, 1.3723825071899391e+00,-1.1698994639636444e-01, 7.1657790503541008e-01, 7.6867624660211117e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 3.8399999999999999e+00,-1.1599999999999999e+00, 0.0000000000000000e+00, 1.0059860150869232e-01,-7.0592812248910411e-02, 1.3778316075055972e+00,-1.2497986377969744e-01, 7.3000693139645845e-01, 5.7318335048262080e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1599999999999999e+00, 8.7300000000000000e-01, 8.4266587678964902e-02, 1.8978341634547574e-01, 1.0463540794321449e+00, 2.0793124897831083e-02, 3.7351639373676915e-01,-8.3291414459327334e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 3.8399999999999999e+00,-1.1599999999999999e+00,-8.7300000000000000e-01, 1.3010087240865961e-01, 2.9013086456083827e-02, 1.3359822292873502e+00,-9.0568083112859757e-02, 6.5822404419504610e-01, 7.5814950571000761e-03
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.7300000000000000e-01, 6.8955396335502531e-02, 6.7022069124359984e-02, 1.2033346652899657e+00,-1.4772931015666789e-03, 6.0053304865416113e-01,-1.9559149277351400e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01, 0.0000000000000000e+00, 1.1599999999999999e+00,-8.7300000000000000e-01, 3.5701467320962112e-02, 7.3471972277500772e-03, 1.0917032092655665e+00, 1.8519332104547728e-02, 4.2548706807562320e-01, 6.7384652258552346e-03
